latitude,longitude
53.32476919,9.859452406
53.32468478,9.85947093
53.32461395,9.859527424
53.32457565,9.859619206
53.32456408,9.85972004
53.32457012,9.859849624
53.32458319,9.859991362
53.32459392,9.860132262
53.32460046,9.860255644
53.32456819,9.860336026
53.32451882,9.860352958
53.32448185,9.860318256
53.3244661,9.860261595
53.32446056,9.860235443
53.32446065,9.860230582
53.32445805,9.860199233
53.32444875,9.860123964
53.32443584,9.860027991
53.32442352,9.85989539
53.32440214,9.859765638
53.324378,9.859649213
53.32435814,9.859544355
53.32433919,9.85944788
53.32432285,9.859342603
53.32430785,9.859218802
53.32429041,9.85909123
53.32427348,9.858970111
53.32426191,9.858906074
53.32424951,9.858872127
53.32424356,9.858788727
53.32423886,9.858673392
53.32423794,9.858551854
53.32422772,9.858412212
53.32420693,9.858270893
53.32418757,9.858201994
53.32416125,9.858152121
53.32411506,9.858107194
53.32404482,9.858055897
53.32396008,9.858015329
53.32386394,9.857985489
53.32377157,9.857960176
53.32369496,9.857929498
53.32365565,9.857899742
53.3236388,9.85789245
53.32363897,9.857892701
53.32363956,9.857962271
53.32371407,9.858003762
53.32380334,9.857992111
53.32387987,9.857962774
53.32395262,9.857982053
53.32402546,9.858008707
53.32408656,9.858012227
53.32412437,9.857975431
53.32414884,9.857904604
53.32415219,9.857807709
53.32414071,9.857690195
53.32413258,9.857567651
53.32412445,9.857441336
53.32411322,9.857315104
53.32410391,9.857191052
53.32409461,9.857062139
53.3240905,9.856932051
53.32407927,9.856793582
53.3240672,9.856656454
53.32405563,9.856524607
53.32404164,9.856395526
53.32403141,9.856274659
53.32402739,9.856156642
53.32401783,9.856028901
53.32401775,9.855913902
53.32401515,9.855800997
53.32400702,9.855692703
53.32399612,9.855568484
53.32397282,9.855431523
53.3239408,9.855293054
53.32392035,9.855160033
53.32390359,9.855031287
53.32389646,9.854908241
53.32389596,9.854788044
53.32389982,9.854669524
53.32390484,9.854553016
53.32391272,9.854427874
53.32388909,9.854351431
53.32384232,9.854326872
53.32379479,9.854264175
53.32375095,9.854176333
53.3237046,9.854087737
53.32365942,9.85399059
53.323616,9.853888415
53.32357175,9.853787497
53.32352657,9.853687333
53.32347913,9.853578284
53.32343051,9.85346823
53.32338139,9.853353817
53.323328,9.853228843
53.32327461,9.853111077
53.32322172,9.852991216
53.32316925,9.852867499
53.32311695,9.852737496
53.32306515,9.852612605
53.32301385,9.852497522
53.32296238,9.852383276
53.32290966,9.852260984
53.32285753,9.852136262
53.32280363,9.852006678
53.32274227,9.851867203
53.32268033,9.851720436
53.32261755,9.851573585
53.32256148,9.851430003
53.32250943,9.851293797
53.32246165,9.85117754
53.32241421,9.851055918
53.32236844,9.850932621
53.32231614,9.850804126
53.32225705,9.850670351
53.32220323,9.850555603
53.3221511,9.850433813
53.32209838,9.850304397
53.32204364,9.850172549
53.32199042,9.850039445
53.32194096,9.849903993
53.32189797,9.849770637
53.32186628,9.849643903
53.32184063,9.849517336
53.32181666,9.849389763
53.32180191,9.849262526
53.32178473,9.849133361
53.32176603,9.849001346
53.32174776,9.84886908
53.32173083,9.848735304
53.32171239,9.848609576
53.32169244,9.848485356
53.32167258,9.848363902
53.32165615,9.848245047
53.32164433,9.848133568
53.32164156,9.84801664
53.32166528,9.847910609
53.3216989,9.84781866
53.32171281,9.847723106
53.32168356,9.847663091
53.32164441,9.847645154
53.32163419,9.847611543
53.3216341,9.847605172
53.32163435,9.847604921
53.32166302,9.847536692
53.32166445,9.847456226
53.32164986,9.847360253
53.3216393,9.847264532
53.3216279,9.847175349
53.32161374,9.847086836
53.32158155,9.847020954
53.32153318,9.847019445
53.32150284,9.846980302
